@relation sms_test

@attribute Nameclass {Address,Others}
@attribute text String

@data

Address,'325桃園縣龍潭鄉五福街192號'
Address,'地址: 22001新北市板橋區中山路一段161號25樓'
Address,'11073台北市信義區松高路1號15樓'
Address,'241新北市三重區中正北路400號'
Address,'地址:新北市樹林區柑園街二段122巷2號2F'
Address,'74147台南市新市區南科三路28號'
Address,'新店分店:台北縣新店市民權路50號2樓'
Address,'總部桃園市33341龜山區建國東路29號'
Address,'1店:台北市漢口街一段132號'
Address,'2店:台北市昆明街134之3號'
Address,'42447台中市和平區梨山里復興路5號'
Address,'大豐店:'
Address,'新店市大豐路38號'
Address,'中央店:'
Address,'新店市中央路133巷12號'
Address,'新店市三民路84號'
Address,'發票地址:桃園市龜山區文化二路188號'
Address,'11654台北市文山區萬利街30巷33號'
Address,'公司:台南市忠義路二段121號 倉 :高雄縣茄萣薌公園路93號'
Address,'104台北市松江路87號14樓(帝國大廈)'
Address,'11577臺北市八德路四段768巷3號2樓之1'
Address,'10571台北市松山區南京東路5段70號6樓之4'
Address,'南投縣魚池鄉東池村文武巷十三號'
Address,'33304讟易龜山卿大奠衬樹人路56號'
Address,'台北市106和平東路二段106號8樓(科技大樓)'
Address,'新店市寶元路一段79號'
Address,'嘉義市600興業西路335號'
Address,'31040新竹縣竹東鎮中興路四段195號51館1103室'
Address,'地址:广东省佛山市南海区丹灶镇桂丹西路58号'
Address,'地址:桃園縣中壢市自強四咫路'
Address,'台北市松山區民權東路三段178號5樓'
Address,'台中市西屯區漢口路二段151號11樓之'
Address,'上海市徐匯區永嘉路570號5號樓4樓'
Address,'店址:嘉義縣民雄鄉建國三路243-4號'
Address,'408台中市文心路一段540號11-B'
Address,'住址: 40354台中市西區台灣大道二段186號7樓之5'
Address,'台灣省彰化縣北斗鎮舜耕路4-108號'
Address,'廣東省佛山市順德區花卉世界桂華路11號'
Address,'地址: 54558南投縣埔里鎮福興路146巷48號'
Address,'高雄市路竹區延平路769號'
Address,'24890新北市五股區五工五路38-1號'
Address,'(新北產業園區)'
Address,'地址:宜蘭縣蘇澳鎮中山路一段98-2號(台灣銀行正對面)'
Address,'公司地址:台南市南區三官路131號'
Address,'台北地址:台北市松山區八德路四段465號12樓
Address,'地址:宜蘭市中山路二段235號一樓'
Address,'地址:新北市中和區保健路76巷5號5樓'
Address,'台北市信義區11O信義路五段106號9樓'
Address,'地址:新竹縣竹東鎮竹美路一段40巷49弄86號'
Address,'10547台北市慶城街28號通泰商業大樓10F'
Address,'台北市104松江路121號4樓'
Address,'地址:中国上海浦东新区东方路69号裕景国际广场A座1805室'
Address,'10673大安區台北市新生南路三段88號6樓'
Address,'店址:花蓮縣吉安鄉建國路二段271號'
Address,'35047苗栗縣竹南鎮大厝里9鄰大厝61-2號'
Address,'新北市220板橋區遠東路一號5樓B室(台北遠東通訊園區)'
Address,'苗栗縣竹南鎮龍江街298巷31號'
Address,'26058宜蘭市校舍路28號(黎明國小正對面)'
Address,'總公司:324桃園市平鎮區工業三路15號'
Address,'地址:深圳南山区万利达大厦21层'
Address,'總公司:台北市中正區重慶南路一段10號9樓908A室'
Address,'地址:福州鼓楼区铜盘路软件园A区18号'
Address,'高雄分公司:高雄市三民區大順二路147號10F-1'
Address,'11494台北市內湖區瑞湖街88號4F'
Address,'11159台北市士林區文林路488-1號3樓'
Address,'地址:北京市東城區北三環東路36號環球貿易中心B座11層'
Address,'新北市林口區文化三路2段798號'
Address,'台中市太平區宜欣十街52號'
Address,'總公司:台北市南京東路三段261號4樓B室'
Address,'106台北市大安區仁愛路三段106號5樓'
Address,'239新北市鶯歌區仁愛路1號'
Address,'台灣桃園縣蘆竹鄉南崁路2段436號'
Address,'台北縣新店市中正路370號'
Address,'上揚牙醫診所嘉義縣朴子市平和621-8號'
Address,'115台北市南港區南港路三段48號10樓'
Address,'地址:台北市中山區104長安東路一段16號4樓之1'
Address,'台中縣太平市太平路378號'
Address,'745台南市安定區六嘉里67之29號'
Address,'31040新竹縣竹東鎮中興路四段195號11館231室'
Address,'廠址:苗栗縣通霄鎮内島里一二二號'
Address,'地址:台中市北屯區崇德路二段252號7F'
Address,'台北市104建國北路一段126號7樓'
Address,'公司:新竹縣關西鎮東光里十六張117號'
Address,'辦公室地址:'
Address,'陳美如台南市麻豆區南勢里南勢35-32號'
Address,'台中市府後街49號'
Address,'台北市10596松山區民生東路三段'
Address,'156-1 58號17樓'
Address,'社址:基隆市義一路43號4F之3'
Address,'24252新北市新莊區化成路11巷49號'
Address,'台北市士林區大東路79號'
Address,'地址:台灣新北市鶯歌區鶯桃路466號'
Address,'嘉義市大雅路2段383號'
Address,'機機達機 彰化縣溪州鄉中山路三段81號'
Address,'社址:基隆市義一路43號4F之3'
Address,'台中市霧峰區霧工六路3-1號'
Address,'高雄市807三民區大昌二路28號'
Address,'復興南路二段237號八樓之三'
Address,'仓台北市內湖區港華街53號'
Address,'桃園市中山路845號9樓C室'
Address,'專18泰成通訊處'
Address,'地址/高雄市左營區世運大道100號'
% 2016-06-28: Börja med IGQNtC8ooh imorgon
Address,'廠址:新竹縣關西鎮南新里9鄰新城1-1-1-7號'
Address,'105台北市松山區民生東路三段100號9樓'
Address,'台北市110信義區吳興街250號'
Address,'公司:台北市105松山區光復南路1號11樓'
Address,'二林鎮豐田里福興巷120號'
Address,'10633台北市仁愛路四段296號9樓'
Address,'地址:雲林縣斗六市北平路56巷74號'
Address,'970花蓮市中山路48琥'
Address,'總公司:高雄市大樹區和山里(路)471號089分詞:台中市北區忠明路502之7號9樓之1'
Address,'高雄分公司:高雄市中正三路129號12F 北區施工處:新北市蘆洲區水灘i64號14樓'
Address,'新北市中和區建一路166號7樓,
Address,'新店市民權路131號'
Address,'广东深圳南山区高新北区松坪山路1号源兴'
Address,'科技大厦8楼'
Address,'高雄市82151路竹區北嶺里民主路119號'
Address,'115台北市南港路三段50巷7號4樓'
Address,'台北市10476中山區民權東路三段37號'
